word,phonetic,meaning,category,example,exampleZh
professional athlete,,职业选手,文化艺术娱乐,,
cycling,,自行车赛,文化艺术娱乐,,
hurdle race,,跨栏,文化艺术娱乐,,
gymnastics,,体操,文化艺术娱乐,,
relay race,,接力赛,文化艺术娱乐,,
hockey,,冰球,文化艺术娱乐,,
recreation / entertainment,,娱乐,文化艺术娱乐,,
Berne Convention,,（有关保护文学和艺术作品版权的公约）,文化艺术娱乐,,
bikini,,比基尼,文化艺术娱乐,,
sado,,茶道,文化艺术娱乐,,
convertible,,敞蓬车,文化艺术娱乐,,
pet clinic,,宠物医院,文化艺术娱乐,,
media,,传媒,文化艺术娱乐,,
briefing,,吹风会,文化艺术娱乐,,
open one's eyes; broaden one's horizon; be an eye-opener,,大开眼界,文化艺术娱乐,,
mass media （of communications）,,大众传媒,文化艺术娱乐,,
zealot; enthusiastic fan,,发烧友,文化艺术娱乐,,
paparazzo （singular）,,狗仔队,文化艺术娱乐,,
punch line,,广告妙语,文化艺术娱乐,,
Guinness Book of Records,,吉尼斯世界记录,文化艺术娱乐,,
home theater,,家庭影院,文化艺术娱乐,,
box office,,票房,文化艺术娱乐,,
Water-Sprinkling Festival,,泼水节,文化艺术娱乐,,
people's cultural life,,群众精神文化生活,文化艺术娱乐,,
body painting,,人体彩绘,文化艺术娱乐,,
Disneyland,,迪斯尼乐园,文化艺术娱乐,,
Mickey mouse,,米老鼠,文化艺术娱乐,,
Donald Duck,,唐老鸭,文化艺术娱乐,,
stunt man,,特技演员,文化艺术娱乐,,
stand-in; double,,替身演员,文化艺术娱乐,,
"beauty contest, beauty pageant",,选美,文化艺术娱乐,,
variety show,,综艺节目,文化艺术娱乐,,
major styles of cooking / cuisine,,各大菜系,文化艺术娱乐,,
Zongzi: a pyramid-shaped dumpling made of glutinous rice wrapped in,,粽 子,文化艺术娱乐,,
moon cake,,月饼,文化艺术娱乐,,
candied preserved fruit / sweetened preserved plums,,蜜饯,文化艺术娱乐,,
sweet bean paste,,豆沙,文化艺术娱乐,,
egg yolk,,蛋黄,文化艺术娱乐,,
marinated egg yolk,,咸蛋黄,文化艺术娱乐,,
seafood,,海鲜,文化艺术娱乐,,
scallop,,扇贝,文化艺术娱乐,,
scallion,,大葱,文化艺术娱乐,,
green onion,,葱,文化艺术娱乐,,
minced meat,,肉馅,文化艺术娱乐,,
minced fillet,,鱼糜,文化艺术娱乐,,
minced shrimp,,虾糜,文化艺术娱乐,,
Jiaozi boiled dumpling,,饺子,文化艺术娱乐,,
treasure rice,,八宝饭 8,文化艺术娱乐,,
carp,,鲤鱼,文化艺术娱乐,,
black carp,,青鱼,文化艺术娱乐,,
grass carp,,草鱼,文化艺术娱乐,,
crucian carp,,欧洲鲫鱼,文化艺术娱乐,,
golden carp,,鲫鱼,文化艺术娱乐,,
bass,,鲈鱼,文化艺术娱乐,,
Chinese perch,,桂鱼,文化艺术娱乐,,
garoupa,,石斑鱼,文化艺术娱乐,,
salmon,,三文鱼/ 大麻哈鱼,文化艺术娱乐,,
tuna,,金枪鱼,文化艺术娱乐,,
cod,,鳕鱼,文化艺术娱乐,,
rice cake - year cake,,年糕,文化艺术娱乐,,
walnut,,胡桃；核桃,文化艺术娱乐,,
meal ticket,,饭票， 餐券,文化艺术娱乐,,
thin slices of mutton for boiling in a hot pot,,涮羊肉,文化艺术娱乐,,
sesame,,芝麻,文化艺术娱乐,,
deep-fried dough sticks,,油条,文化艺术娱乐,,
soy sauce,,酱油,文化艺术娱乐,,
mung beans,,绿豆,文化艺术娱乐,,
deep-fried dough cake,,油饼,文化艺术娱乐,,
soup,,汤,文化艺术娱乐,,
dish,,菜,文化艺术娱乐,,
soybean milk,,豆浆,文化艺术娱乐,,
rice served with meat and veggies on top,,盖交饭,文化艺术娱乐,,
cilantro （Chinese parsley cilantro/ coriander）,,香菜,文化艺术娱乐,,
"glass noodles; vermicelli made from bean starch, etc.",,粉丝,文化艺术娱乐,,
steamed buns,,馒头,文化艺术娱乐,,
steamed twisted rolls,,花卷,文化艺术娱乐,,
steamed stuffed buns,,包子,文化艺术娱乐,,
steamed bun with meat filling,,肉包子,文化艺术娱乐,,
meat filling,,肉馅,文化艺术娱乐,,
steamed bun filled with bean paste,,豆沙包,文化艺术娱乐,,
bean-paste filling,,豆沙馅,文化艺术娱乐,,
"spring roll （ a thin sheet of dough, stuffed, rolled and fried）",,春卷,文化艺术娱乐,,
making Chinese dumplings,,包饺子,文化艺术娱乐,,
kneading board,,案板,文化艺术娱乐,,
rolling pin,,擀面杖,文化艺术娱乐,,
stuffing; filling,,馅,文化艺术娱乐,,
dough,,面团儿,文化艺术娱乐,,
dumpling wrappers,,饺子皮,文化艺术娱乐,,
wonton wrappers,,馄饨皮,文化艺术娱乐,,
wire strainer,,网筛,文化艺术娱乐,,
bamboo （food） steamer,,蒸笼,文化艺术娱乐,,
shaomai （a steamed dumpling with the dough gathered at the top）,,烧卖,文化艺术娱乐,,
scallion pancake,,葱饼,文化艺术娱乐,,
pancake spreader,,推棍儿,文化艺术娱乐,,
sweet sauce made of fermented flour,,甜面酱,文化艺术娱乐,,
Beijing roast duck,,北京烤鸭,文化艺术娱乐,,
noodles,,面条,文化艺术娱乐,,
hand-stretched noodles; ramen,,拉面,文化艺术娱乐,,
instant noodle,,方便面,文化艺术娱乐,,
fine dried noodles,,挂面,文化艺术娱乐,,
fried noodles,,炒面,文化艺术娱乐,,
cold noodles in sauce,,凉面,文化艺术娱乐,,
wonton （dumplings in soup）,,馄饨,文化艺术娱乐,,
shaved noodles,,刀削面,文化艺术娱乐,,
rice flour,,米粉,文化艺术娱乐,,
wheat flour,,面粉,文化艺术娱乐,,
toast,,烤面包,文化艺术娱乐,,
jam,,果酱,文化艺术娱乐,,
sandwich,,三明治,文化艺术娱乐,,
hot dog,,热狗,文化艺术娱乐,,
hamburger,,汉堡包,文化艺术娱乐,,
doughnut,,糖纳滋,文化艺术娱乐,,
bagel,,百吉饼、面包圈,文化艺术娱乐,,
sorghum candy,,高粱饴,文化艺术娱乐,,
liqueur-filled candy,,酒心糖,文化艺术娱乐,,
chewing gum,,口香糖,文化艺术娱乐,,
bubble gum,,泡泡糖,文化艺术娱乐,,
haw flakes,,山楂片,文化艺术娱乐,,
chestnuts roast （in sand） with brown sugar,,糖炒栗子,文化艺术娱乐,,
popcorn,,爆米花,文化艺术娱乐,,
sponge cake,,松糕,文化艺术娱乐,,
mung bean porridge,,绿豆粥,文化艺术娱乐,,
red bean porridge,,红豆粥,文化艺术娱乐,,
almond bean curd,,杏核豆腐,文化艺术娱乐,,
tofu （bean curd）,,豆腐,文化艺术娱乐,,
fried dough twist,,麻花,文化艺术娱乐,,
egg crisp cake,,萨其马,文化艺术娱乐,,
squid,,鱿鱼,文化艺术娱乐,,
bamboo shoot,,笋,文化艺术娱乐,,
air-dried bamboo shoot,,笋干,文化艺术娱乐,,
dried mushroom,,香菇,文化艺术娱乐,,
straw mushroom,,草菇,文化艺术娱乐,,
hedgehog mushroom,,猴菇,文化艺术娱乐,,
wood-ear/ Jew’s ear,,木耳,文化艺术娱乐,,
tremella,,白木耳,文化艺术娱乐,,
Chinese caterpillar fungus,,冬虫夏草,文化艺术娱乐,,
kelp,,海带,文化艺术娱乐,,
seaweed,,紫菜,文化艺术娱乐,,
bird’s nest,,燕窝,文化艺术娱乐,,
jellyfish,,海蜇,文化艺术娱乐,,
sea cucumber,,海参,文化艺术娱乐,,
abalone,,鲍鱼,文化艺术娱乐,,
shark’s fin,,鱼翅,文化艺术娱乐,,
bear’s paw,,熊掌,文化艺术娱乐,,
beancurd puff,,豆腐泡,文化艺术娱乐,,
fermented beancurd,,腐乳,文化艺术娱乐,,
cutting technique,,刀工,文化艺术娱乐,,
dice,,切丁,文化艺术娱乐,,
slice,,切条；切片,文化艺术娱乐,,
shred,,切丝,文化艺术娱乐,,
chop,,剁、剁碎,文化艺术娱乐,,
mince,,切碎（成泥）,文化艺术娱乐,,
cube,,方块,文化艺术娱乐,,
chunk,,块,文化艺术娱乐,,
sunflower seeds,,瓜子,文化艺术娱乐,,
lotus root,,莲藕,文化艺术娱乐,,
lotus seeds,,莲子,文化艺术娱乐,,
leek,,青蒜，韭葱,文化艺术娱乐,,
Chinese chives / leek,,韭菜,文化艺术娱乐,,
oyster mushroom,,平菇,文化艺术娱乐,,
bitter gourd,,苦瓜,文化艺术娱乐,,
string bean， snap bean，green bean,,四季豆、菜豆,文化艺术娱乐,,
snow pea,,豌豆荚、雪豆荚,文化艺术娱乐,,
bean sprout,,豆芽,文化艺术娱乐,,
mung bean sprouts,,绿豆芽,文化艺术娱乐,,
soybean sprouts,,黄豆芽,文化艺术娱乐,,
Chinese dates,,枣子,文化艺术娱乐,,
haw,,山楂,文化艺术娱乐,,
pomegranate,,石榴,文化艺术娱乐,,
kiwi fruit,,弥猴桃、奇异果,文化艺术娱乐,,
lychee,,荔枝,文化艺术娱乐,,
longan,,龙眼,文化艺术娱乐,,
tangerine,,橘子,文化艺术娱乐,,
grapefruit,,西柚、葡萄柚,文化艺术娱乐,,
Buddha’s-hand; fingered citron,,佛手瓜,文化艺术娱乐,,
papaya,,木瓜,文化艺术娱乐,,
walnut meat,,核桃仁,文化艺术娱乐,,
pine nut kernels,,松子，松人,文化艺术娱乐,,
melon seeds,,西瓜子,文化艺术娱乐,,
cashew nut,,腰果,文化艺术娱乐,,
hazelnut,,榛果， 榛子,文化艺术娱乐,,
grape,,葡萄,文化艺术娱乐,,
grain; cereal,,谷,文化艺术娱乐,,
rice,,米,文化艺术娱乐,,
long rice,,长米，较硬，煮前先泡一个小时,文化艺术娱乐,,
Pudding rice or short rice,,短米，较软,文化艺术娱乐,,
Brown rice,,糙米,文化艺术娱乐,,
THAI Fragrant rice,,泰国香米,文化艺术娱乐,,
Glutinous rice,,糯米,文化艺术娱乐,,
strong flour,,强力面粉,文化艺术娱乐,,
plain flour,,中筋面粉，不含发酵粉的面粉,文化艺术娱乐,,
self- raising flour,,自发粉,文化艺术娱乐,,
whole meal flour,,小麦面粉,文化艺术娱乐,,
brown sugar,,砂糖,文化艺术娱乐,,
dark brown sugar,,红糖（感冒时煮姜汤时用）,文化艺术娱乐,,
icing sugar,,糖粉,文化艺术娱乐,,
rock sugar,,冰糖,文化艺术娱乐,,
vinger,,醋,文化艺术娱乐,,
cornstarch,,玉米淀粉、太白粉,文化艺术娱乐,,
maltose,,麦芽糖,文化艺术娱乐,,
sesame seeds,,芝麻,文化艺术娱乐,,
sesame oil,,麻油,文化艺术娱乐,,
oyster sauce,,蚝油,文化艺术娱乐,,
pepper,,胡椒,文化艺术娱乐,,
white pepper,,白胡椒,文化艺术娱乐,,
black pepper,,黑胡椒,文化艺术娱乐,,
red chilli powder,,辣椒粉,文化艺术娱乐,,
sesame paste,,芝麻酱,文化艺术娱乐,,
msg （monosodium glutamate）,,味精,文化艺术娱乐,,
black bean sauce,,豆鼓,文化艺术娱乐,,
red kidney bean,,大红豆,文化艺术娱乐,,
dried black mushroom,,冬菇,文化艺术娱乐,,
pickled mustard-green,,酸菜,文化艺术娱乐,,
anise,,八角、茴香,文化艺术娱乐,,
water chestnuts,,荸荠、马蹄,文化艺术娱乐,,
dried shrimps,,虾米,文化艺术娱乐,,
prawn,,明虾,文化艺术娱乐,,
gourmet festival,,美食节,文化艺术娱乐,,
Chinese cuisine; Chinese culinary art,,中餐烹饪,文化艺术娱乐,,
"color, aroma, taste and appearance",,色香味形,文化艺术娱乐,,
four major Chinese cusines,,四大菜系,文化艺术娱乐,,
Shangdong cuisine,,山东菜,文化艺术娱乐,,
Sichuan cuisine,,川菜,文化艺术娱乐,,
Canton cuisine,,粤菜,文化艺术娱乐,,
Yangzhou cuisine,,扬州菜,文化艺术娱乐,,
the light southern cuisine and the salty northern cusine,,南淡北咸,文化艺术娱乐,,
the sweet eastern cuisine and the spicy western cuisine,,东甜西辣,文化艺术娱乐,,
eight-treasure rice pudding,,八宝饭,文化艺术娱乐,,
local delicacy,,风味小吃；地方风味小吃,文化艺术娱乐 / 旅游观光,,
grind,,绞碎,文化艺术娱乐,,
high heat,,大、旺、武火,文化艺术娱乐,,
medium heat,,中火,文化艺术娱乐,,
low heat,,小、微、文火,文化艺术娱乐,,
pan-fry,,煎,文化艺术娱乐,,
stir-fry; sauté,,炒,文化艺术娱乐,,
quick-fry,,爆,文化艺术娱乐,,
deep-fry,,炸,文化艺术娱乐,,
stew,,烩,文化艺术娱乐,,
smoke,,熏,文化艺术娱乐,,
"simmer, stew",,煨， 炖,文化艺术娱乐,,
boil,,煮,文化艺术娱乐,,
bake,,烘,文化艺术娱乐,,
"bake; roast, grill",,烤,文化艺术娱乐,,
grill; BBQ,,架烤,文化艺术娱乐,,
steam,,蒸,文化艺术娱乐,,
braise （with soy sauce）,,红烧,文化艺术娱乐,,
dip-boil （mutton slices）,,涮 （羊肉）,文化艺术娱乐,,
atheism,,无神论,文化艺术娱乐,,
creationism,,创世论,文化艺术娱乐,,
Darwinism,,进化论,文化艺术娱乐,,
determinism,,宿命论,文化艺术娱乐,,
dialectic,,辩证的,文化艺术娱乐,,
enlightenment,,启蒙运动,文化艺术娱乐,,
Jehovah,,耶和华,文化艺术娱乐,,
goddess,,女神,文化艺术娱乐,,
illuminati,,先知,文化艺术娱乐,,
positivism,,实证主义,文化艺术娱乐,,
that which has to be accepted as we find it and is not given to further,,[ 详 析 ],文化艺术娱乐,,
Socratic method,,苏格拉底问答法,文化艺术娱乐,,
Buddhism,,佛教,文化艺术娱乐,,
depositary of Buddhist sutra,,藏经楼,文化艺术娱乐,,
a cave fro preserving Buddhist sutra,,藏经洞,文化艺术娱乐,,
Dhyana / Zen,,禅,文化艺术娱乐,,
Zen,,禅宗,文化艺术娱乐,,
Zen master,,禅宗大师,文化艺术娱乐,,
Tripitaka,,大藏经,文化艺术娱乐,,
Great Vehicle （from north）,,大乘佛教,文化艺术娱乐,,
Lesser Vehicle （from south）,,小乘佛教,文化艺术娱乐,,
the Great Buddha’s Hall,,大雄宝殿,文化艺术娱乐,,
Jokhang Temple,,大昭寺,文化艺术娱乐,,
god of earth,,地藏,文化艺术娱乐,,
shrine,,佛龛,文化艺术娱乐,,
Buddhist temple,,佛寺,文化艺术娱乐,,
statue of Buddha,,佛像,文化艺术娱乐,,
Buddha's relics,,舍利子,文化艺术娱乐,,
worldly possessions,,身外之物,文化艺术娱乐,,
The Eighteen Disciples of the Buddha,,十八罗汉,文化艺术娱乐,,
Arhat Hall,,罗汉堂,文化艺术娱乐,,
Sakyamuni,,释迦牟尼,文化艺术娱乐,,
Four Heavenly Guardians; Four Devarajas,,四大金刚,文化艺术娱乐,,
nirvana,,涅盘 （ 佛 ）,文化艺术娱乐,,
Karma,,因果报应,文化艺术娱乐,,
Confucianism,,儒教,文化艺术娱乐,,
Temple of Confucius,,孔庙,文化艺术娱乐,,
Taoism,,道教,文化艺术娱乐,,
Tibetology,,藏学,文化艺术娱乐,,
Lama,,喇嘛,文化艺术娱乐,,
Lamaism,,喇嘛教,文化艺术娱乐,,
Lamasery,,喇嘛庙,文化艺术娱乐,,
reincarnation,,转世,文化艺术娱乐,,
reincarnated soul boy,,转世灵童,文化艺术娱乐,,
infidel,,异教徒,文化艺术娱乐,,
religious contradictions,,宗教矛盾,文化艺术娱乐,,
religious） ritual,,宗教仪式 （,文化艺术娱乐,,
cult,,邪教,文化艺术娱乐,,
evil cult gangs,,邪教组织,文化艺术娱乐,,
metaphysics,,形而上学,文化艺术娱乐,,
sage-king,,圣君,文化艺术娱乐,,
Christian,,基督教,文化艺术娱乐,,
Protestant,,基督教新教,文化艺术娱乐,,
Scientology,,基督科学会,文化艺术娱乐,,
Catholic,,天主教,文化艺术娱乐,,
Jehovah’s Witness,,耶和华见证会,文化艺术娱乐,,
Jesus Christ,,耶稣基督,文化艺术娱乐,,
baptism,,洗礼,文化艺术娱乐,,
Mormon （the Church of Jesus Christ of Latter-day Saints）,,摩门教,文化艺术娱乐,,
Islam,,伊斯兰教,文化艺术娱乐,,
hard -line Islamist,,强硬派伊斯兰教徒,文化艺术娱乐,,
the Koran,,古兰经,文化艺术娱乐,,
Mosque,,清真寺,文化艺术娱乐,,
vegetarian restaurant,,素菜馆,文化艺术娱乐,,
Ramadan/ month of fast,,斋月 （伊斯兰教 ）,文化艺术娱乐,,
church,,教堂,文化艺术娱乐,,
temple,,寺庙,文化艺术娱乐,,
cathedral,,大教堂,文化艺术娱乐,,
chapel,,小礼拜堂,文化艺术娱乐,,
abbey,,修道院,文化艺术娱乐,,
nunnery,,尼姑庵,文化艺术娱乐,,
accommodations n.,,膳宿；住房,旅游观光,,
adjoining room n.,,相邻的房间,旅游观光,,
single room - a room with one bed for one person n.,,单人房（一张床）,旅游观光,,
twin room - a room with two beds for two people n.,,双人房（两张床）,旅游观光,,
double room - a room for two persons with a double bed n.,,双人房（一张床）,旅游观光,,
bed） plus a roll-away cot n.,,三人房,旅游观光,,
standard room n.,,标准间,旅游观光,,
deluxe room n.,,豪华间,旅游观光,,
luxury suite n.,,豪华套房,旅游观光,,
presidential suite n.,,总统套房,旅游观光,,
ocean front - a room directly facing the ocean n.,,面朝海洋的房间,旅游观光,,
（usually located on the side of the hotel）,,海景房,旅游观光,,
wet bar,,小吧台 n. （旅馆房间里有自来水和水槽的小吧台）,旅游观光,,
book/ reserve a room v.,,订房,旅游观光,,
booth n.,,餐厅中的包厢或火车座,旅游观光,,
bowling alley n.,,保龄球场,旅游观光,,
check in v.,,入住,旅游观光,,
check out v.,,结账、退房,旅游观光,,
close-circuit television n.,,闭路电视,旅游观光,,
deposit n.,,预定金,旅游观光,,
discotheque n.,,迪斯科舞厅,旅游观光,,
front desk; reception desk n.,,前台,旅游观光,,
gym n.,,健身房,旅游观光,,
hotel registration form n.,,旅馆登记表,旅游观光,,
karaoke n.,,卡拉 OK,旅游观光,,
lobby n.,,大堂,旅游观光,,
make a reservation,,预订,旅游观光,,
massage parlor n.,,按摩室， （挂按摩院招牌的）妓院,旅游观光,,
pool table n.,,台球桌,旅游观光,,
stay at v.,,在……下榻,旅游观光,,
air transportation n.,,空运， 坐飞机旅行,旅游观光,,
connecting flight n.,,转接班机,旅游观光,,
direct flight n.,,直航 （ 不换飞机，但中途可能有停）,旅游观光,,
electronic ticket n.,,电子机票,旅游观光,,
non-stop flight n.,,直达航班,旅游观光,,
baggage allowance n.,,免费行李配额,旅游观光,,
coach class n.,,经济舱,旅游观光,,
commercial carriers n.,,客运飞机，列车等,旅游观光,,
first class n.,,头等舱,旅游观光,,
air mile n.,,"空英里，空中飞行的长度单位，相当于一国际海里（6,076.115 英",旅游观光,,
travel insurance n.,,旅行保险,旅游观光,,
PAI （personal accident insurance） n.,,人身意外伤害险,旅游观光,,
force majeure n.,,不可抗力 （如风暴，战争等）,旅游观光,,
car rental n.,,租车,旅游观光,,
van n.,,厢式车； 商旅车,旅游观光,,
compact adj. / n.,,小型轿车,旅游观光,,
mid-sized adj.,,中型汽车,旅游观光,,
full-sized adj.,,大型轿车（六人坐）,旅游观光,,
sedan,,四门轿车,旅游观光,,
drop-off charge n.,,甲地租车，乙地还车所收取的费用,旅游观光,,
Value Added Tax （VAT） n.,,增值税 （欧洲国家对货品和服务所课征的营,旅游观光,,
hotel n.,,旅馆,旅游观光,,
apartment hotel n.,,酒店式公寓,旅游观光,,
& B - Bed & Breakfast,,乡村小旅店（只包早餐与住宿）,旅游观光,,
hostel n.,,小旅馆，招待所（通常较便宜）,旅游观光,,
inn n.,,客栈，小旅店,旅游观光,,
lodge n.,,山林小屋， （游览区的、靠山临水的）旅馆,旅游观光,,
motel n.,,汽车旅馆,旅游观光,,
mountain villa n.,,庄别墅,旅游观光,,
posada n.[,,西] 乡间小旅馆， 客栈,旅游观光,,
resort n.,,度假胜地， 度假胜地宾馆,旅游观光,,
major credit cards n.,,主要信用卡,旅游观光,,
visa n.,,威萨；签证,旅游观光,,
Mastercard n.,,万事通,旅游观光,,
American Express n.,,美国运通,旅游观光,,
meals,,用餐,旅游观光,,
Continental breakfast n.,,欧陆式早餐,旅游观光,,
English breakfast n.,,英式早餐,旅游观光,,
AP （American Plan） n.,,美式配套 （住房+美式早餐+午餐+晚餐）,旅游观光,,
CP （Continental Plan） n.,,大陆式配套 （住房 + 欧陆式早餐）,旅游观光,,
EP （European Plan） n.,,欧式配套 （只供住房，没有附带任何餐点）,旅游观光,,
MAP （Modified American Plan） n.,,简易美式配套（住房+美式早餐+晚餐）,旅游观光,,
Full Board （Full Pension） n.,,全套（住房+大陆式早餐+午餐+晚餐）,旅游观光,,
Half Board （Demi-Pension） n.,,半套 （住房+大陆式早餐，午餐或晚餐选,旅游观光,,
la Carte n.,,照单点菜,旅游观光,,
national park n.,,国家公园,旅游观光,,
Blue Ridge Parkway,,蓝色山脊公园道,旅游观光,,
Mount Rushmore National Memorial,,罗斯摩尔山国家公园 （有总统头像）,旅游观光,,
Grand canyon national park,,大峡谷国家公园,旅游观光,,
Great smoky mountains national park,,大烟山国家公园,旅游观光,,
Yellowstone national park,,黄石公园,旅游观光,,
Yosemite national park,,优胜美地、国家公园,旅游观光,,
services （,,旅游）配套服务,旅游观光,,
bellman / bellhop n.,,旅馆服务员 （如搬运行李和当差）,旅游观光,,
concierge / valet n.,,旅馆看门人、为客人搬行李、停车等的服务人员,旅游观光,,
driver-guide n.,,司机兼导游,旅游观光,,
dry cleaning n.,,干洗,旅游观光,,
laundry service n.,,酒店洗衣服务,旅游观光,,
local guide n.,,当地导游,旅游观光,,
porterage n.,,行李服务,旅游观光,,
tour escort/director/manager n.,,领队（受旅行社委派，全权代表该旅行社带领,旅游观光,,
transfers n.,,接送服务,旅游观光,,
travel documents n.,,旅游所携文件,旅游观光,,
passport n.,,护照,旅游观光,,
vouchers n.,,代金券,旅游观光,,
types of beds n. （,,旅馆里）床的类型,旅游观光,,
double n.,,双人床,旅游观光,,
single / queen / king n.,,单人床 / 大号床/ 加阔床或特大号床,旅游观光,,
twin beds n.,,对床 （相当于 two singles）,旅游观光,,
waterbed n.,,水床,旅游观光,,
long boy beds n.,,加长床,旅游观光,,
rollaway n.,,滚动式折叠床,旅游观光,,
hide-a-bed n.,,暗床,旅游观光,,
a must-see place/ sight,,必游之地,旅游观光,,
a nation living on wheels,,生活在轮子上的国家,旅游观光,,
altitude stress,,高原反应， 高山反应,旅游观光,,
backpack n.,,背包,旅游观光,,
Bon Voyage!,,祝你旅途愉快！,旅游观光,,
business tour n.,,商务旅游,旅游观光,,
cab/ cabby n.,,出租车；计程车,旅游观光,,
camping n.,,露营,旅游观光,,
commuter n. （,,使用月/季票）乘车者； 经常来往于两地之间的人,旅游观光,,
commuter flight n. [,,美]短程定期往返飞机,旅游观光,,
debark v.,,下船（飞机，车等）,旅游观光,,
dining out n.,,下馆子,旅游观光,,
drive-in banks n.“,,免下车” 银行,旅游观光,,
drive-through restaurants n.“,,免下车” 餐馆,旅游观光,,
embark v.,,上船， 上飞机，启程,旅游观光,,
excursion n.,,游览；短途旅行；不属于计划行程中的游览,旅游观光,,
expressway n.,,高速公路,旅游观光,,
field trip n.,,实地考察旅行,旅游观光,,
greyhound n.,,美国灰狗长途汽车,旅游观光,,
group tour n.,,随团旅游,旅游观光,,
high season n.（,,旅游地区等的）旺季,旅游观光,,
honeymoon trip n.,,蜜月之旅,旅游观光,,
in transit / en route adv.,,在途中,旅游观光,,
inbound tourism n.,,入境旅游,旅游观光,,
inclusive tour n.,,全包旅行,旅游观光,,
international driver’s license n.,,国际驾照,旅游观光,,
jet lag n.,,飞行时差反应,旅游观光,,
landscape n.,,风景；自然景观,旅游观光,,
long distance coach n.,,长途汽车,旅游观光,,
low season n.（,,旅游地区等的）淡季,旅游观光,,
minimum speed n.,,最低限速,旅游观光,,
monthly pass n.,,月票,旅游观光,,
mount police n.,,骑警,旅游观光,,
non-refundable adj.,,不可退还的,旅游观光,,
nonstop adj.（,,中途）不停的，直达的,旅游观光,,
non-transferable adj.,,不可转让的,旅游观光,,
pageantry n.,,盛典,旅游观光,,
parking lot n.,,停车场,旅游观光,,
parking space n.,,停车位,旅游观光,,
petty cash n.,,零用现金,旅游观光,,
public transit n.,,公共交通,旅游观光,,
receipt n.,,收条， 收据,旅游观光,,
return ticket n.,,回程票,旅游观光,,
round trip n.,,往返旅行,旅游观光,,
round-trip ticket n.,,往返票,旅游观光,,
sea legs n.,,抗晕船能力,旅游观光,,
shuttle bus n. [,,美]区间（公共汽）车,旅游观光,,
shuttle flight n. [,,美]短程定期往返飞机,旅游观光,,
speed limit n.,,限速,旅游观光,,
subway n.,,地铁,旅游观光,,
tents n.,,帐篷,旅游观光,,
TGV n.（Train a Grande Vitesse）,,法国高速列车,旅游观光,,
the changing of guards n.,,皇家卫队换岗（典礼）,旅游观光,,
theme cruise n.,,主题型游轮,旅游观光,,
through passenger n.,,直达旅客,旅游观光,,
tipping n.,,给小费,旅游观光,,
tour n.,,旅游， 旅行,旅游观光,,
tourist destination n.,,景点； 游客驻足之地； 游客向往的地方,旅游观光,,
tourist season n.,,旅游旺季,旅游观光,,
trailer n.,,拖车式活动房屋； 房车,旅游观光,,
travel agency n.,,旅行社,旅游观光,,
vacation n. <,,美>度假， 休假,旅游观光,,
vacationer n.,,度假者， 休假者,旅游观光,,
waiver n.,,放弃，免去 （如旅客放弃航空保险）,旅游观光,,
white page n.,,电话簿白页 （for finding a person---居民住宅电话号码）,旅游观光,,
Yellow Pages n.,,电话簿黄页 （for finding a business---商业类）,旅游观光,,
sleepless city,,不夜城,旅游观光,,
ups and downs of time,,沧海桑田,旅游观光,,
the Yangtze River Delta,,长江三角洲,旅游观光,,
maglev train （magnetically levitated train）,,磁悬浮列车,旅游观光,,
metropolis; cosmopolis; metropolitan city; cosmopolitan city,,大都市,旅游观光,,
Oriental Pearl TV Tower,,东方明珠塔,旅游观光,,
the pearl on the coast of the East China Sea,,东海之滨的明珠,旅游观光,,
elevated highway; overhead highway,,高架公路,旅游观光,,
overhead viaduct,,高架立交桥,旅游观光,,
BIE International Bureau of Exhibitions,,国际展览局,旅游观光,,
a famous historic and cultural city,,历史文化名城,旅游观光,,
Longhua Temple,,龙华寺,旅游观光,,
the inner ring; the inner belt way; the inner loop,,内环线,旅游观光,,
Pudong NewArea,,浦东新区,旅游观光,,
light rail train; elevated rail train,,轻轨火车,旅游观光,,
SCO Shanghai Cooperation Organization,,上海合作组织,旅游观光,,
the sixth summit of “Shanghai Five”,,上海五国第六次峰会,旅游观光,,
the Shanghai Five mechanism,,上海五国机制,旅游观光,,
Shanghai Cooperation Organization （a six-member group,,上海合作组织,旅游观光,,
successful bid for World Expo,,申博成功,旅游观光,,
a hot/ popular investment destination,,投资热点,旅游观光,,
exhibition / gallery of International Architecture,,万国建筑博览,旅游观光,,
the Bund,,外滩,旅游观光,,
infoport,,信息港,旅游观光,,
cruise along the Huangpu River,,黄浦江游,旅游观光,,
Jade Buddha Temple,,玉佛寺,旅游观光,,
Yu Yuan Garden,,豫园,旅游观光,,
municipality directly under Central Government,,直辖市,旅游观光,,
Waigaoqiao Bonded Zone/ Free-trade Zone,,外高桥保税区,旅游观光,,
Zhangjiang High-tech Park,,张江高科技园区,旅游观光,,
Jinqiao Export Processing Zone,,金桥出口加工区,旅游观光,,
Lujiazui Financial and Trade Zone,,陆家嘴金融贸易中心,旅游观光,,
Jinmao Tower,,金贸大厦,旅游观光,,
Town God’s Temple,,城隍庙,旅游观光,,
Shanghai International Convention Center,,上海国际会议中心,旅游观光,,
Nanpu/Yangpu/ xupu/ lupu（suspension）,,大桥,旅游观光,,
Metro pass,,交通一卡通,旅游观光,,
Riverside Promenade,,（浦东）滨江大道,旅游观光,,
Sightseeing Tunnel at the Bund,,外滩观光隧道,旅游观光,,
